,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1188,1188,Craigieburn,3064,City of Hume,Melbourne,Big Box Store,,,,,,,,,
1189,1189,Cranbourne,3977,City of Casey,Melbourne,Fast Food Restaurant,Sandwich Place,Electronics Store,Bistro,Pizza Place,,,,,
1190,1190,Cranbourne East,3977,City of Casey,Melbourne,Child Care Service,Football Stadium,Field,Café,,,,,,
1191,1191,Cranbourne North,3977,City of Casey,Melbourne,Park,Construction & Landscaping,Business Service,,,,,,,
1192,1192,Cranbourne South,3977,City of Casey,Melbourne,,,,,,,,,,
1193,1193,Cranbourne West,3977,City of Casey,Melbourne,,,,,,,,,,
1194,1194,Cremorne,3121,City of Yarra,Melbourne,Café,Pub,Breakfast Spot,Gas Station,Park,Harbor / Marina,Scenic Lookout,Pizza Place,Gym,Korean Restaurant
1195,1195,Crib Point,3919,Shire of Mornington Peninsula,Melbourne,Pizza Place,Fish & Chips Shop,,,,,,,,
1196,1196,Croydon,3136,City of Maroondah,Melbourne,Café,Pizza Place,Concert Hall,Supermarket,Camera Store,Sandwich Place,Bar,Shopping Mall,Movie Theater,Brewery
1197,1197,Croydon Hills,3136,City of Maroondah,Melbourne,,,,,,,,,,
1198,1198,Croydon North,3136,City of Maroondah,Melbourne,Brewery,Cosmetics Shop,Movie Theater,Pizza Place,,,,,,
1199,1199,Croydon South,3136,City of Maroondah,Melbourne,Fast Food Restaurant,Grocery Store,American Restaurant,Video Store,,,,,,
1200,1200,Dallas,3047,City of Hume,Melbourne,Restaurant,Pub,Dessert Shop,Café,,,,,,
1201,1201,Dalmore,3981,Shire of Cardinia,Melbourne,,,,,,,,,,
1202,1202,Dandenong,3175,City of Greater Dandenong,Melbourne,Supermarket,Fast Food Restaurant,Asian Restaurant,Sushi Restaurant,Big Box Store,Flea Market,Café,Theater,Shopping Mall,Bakery
1203,1203,Dandenong North,3175,City of Greater Dandenong,Melbourne,Seafood Restaurant,Australian Restaurant,,,,,,,,
1204,1204,Dandenong South,3175,City of Greater Dandenong,Melbourne,Furniture / Home Store,Department Store,Café,Sandwich Place,,,,,,
1205,1205,Deepdene,3103,City of Boroondara,Melbourne,Café,Gym,Light Rail Station,,,,,,,
1206,1206,Deer Park,3023,City of Brimbank,Melbourne,Vietnamese Restaurant,Fish & Chips Shop,Middle Eastern Restaurant,Malay Restaurant,Deli / Bodega,Falafel Restaurant,Chinese Restaurant,Pizza Place,Restaurant,Café
1207,1207,Delahey,3037,City of Brimbank,Melbourne,Playground,,,,,,,,,
1208,1208,Derrimut,3026,City of Brimbank,Melbourne,Golf Course,Gym,Construction & Landscaping,Business Service,,,,,,
1209,1209,Devon Meadows,3977,City of Casey,Melbourne,Electronics Store,,,,,,,,,
1210,1210,Dewhurst,3808,Shire of Cardinia,Melbourne,,,,,,,,,,
1211,1211,Diamond Creek,3089,Shire of Nillumbik,Melbourne,Home Service,,,,,,,,,
1212,1212,Diggers Rest,3427,"City of Hume, City of Melton",Melbourne,,,,,,,,,,
1213,1213,Dingley Village,3172,City of Kingston,Melbourne,Convenience Store,Sandwich Place,Gym / Fitness Center,Fast Food Restaurant,Pizza Place,Golf Course,,,,
1214,1214,Dixons Creek,3775,Shire of Yarra Ranges,Melbourne,Winery,,,,,,,,,
1215,1215,Docklands,3008,City of Melbourne,Melbourne,Café,Restaurant,Asian Restaurant,Middle Eastern Restaurant,Seafood Restaurant,Thai Restaurant,Steakhouse,Vietnamese Restaurant,Light Rail Station,Bakery
1216,1216,Don Valley,3139,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1217,1217,Doncaster,3108,City of Manningham,Melbourne,Café,Chinese Restaurant,Movie Theater,Supermarket,Dessert Shop,Clothing Store,Sandwich Place,American Restaurant,Farmers Market,Sushi Restaurant
1218,1218,Doncaster East,3109,City of Manningham,Melbourne,Italian Restaurant,Asian Restaurant,Fast Food Restaurant,Thai Restaurant,Basketball Stadium,Korean Restaurant,Liquor Store,Cantonese Restaurant,Café,Hotel
1219,1219,Donnybrook,3064,City of Whittlesea,Melbourne,Moving Target,,,,,,,,,
1220,1220,Donvale,3111,City of Manningham,Melbourne,Business Service,,,,,,,,,
1221,1221,Doreen,3754,"City of Whittlesea, Shire of Nillumbik",Melbourne,,,,,,,,,,
1222,1222,Doveton,3177,City of Casey,Melbourne,Bakery,Grocery Store,Fish & Chips Shop,,,,,,,
1223,1223,Dromana,3936,Shire of Mornington Peninsula,Melbourne,Shopping Mall,Massage Studio,Grocery Store,Café,Thai Restaurant,,,,,
1224,1224,Eaglemont,3084,City of Banyule,Melbourne,Park,Playground,Market,,,,,,,
1225,1225,East Melbourne,3002,City of Melbourne,Melbourne,Cricket Ground,Café,Garden,Tennis Stadium,Hotel,Bar,Train Station,Train,Pharmacy,Museum
1226,1226,Eden Park,3757,City of Whittlesea,Melbourne,,,,,,,,,,
1227,1227,Edithvale,3196,City of Kingston,Melbourne,Train Station,Pizza Place,Asian Restaurant,Thai Restaurant,Fish & Chips Shop,,,,,
1228,1228,Elsternwick,3185,City of Glen Eira,Melbourne,Café,Bar,Japanese Restaurant,Middle Eastern Restaurant,Sushi Restaurant,Board Shop,Social Club,Frozen Yogurt Shop,Fish & Chips Shop,Burger Joint
1229,1229,Eltham,3095,Shire of Nillumbik,Melbourne,Pet Store,Cosmetics Shop,,,,,,,,
1230,1230,Eltham North,3095,"Shire of Nillumbik, City of Banyule",Melbourne,Home Service,,,,,,,,,
1231,1231,Elwood,3184,City of Port Phillip,Melbourne,Café,Bakery,River,,,,,,,
1232,1232,Emerald,3782,"Shire of Cardinia, Shire of Yarra Ranges",Melbourne,Bakery,Train Station,Theater,Grocery Store,,,,,,
1233,1233,Endeavour Hills,3802,City of Casey,Melbourne,Supermarket,Fast Food Restaurant,Café,Fried Chicken Joint,Discount Store,Shopping Mall,Chinese Restaurant,Liquor Store,Video Game Store,Donut Shop
1234,1234,Epping,3076,City of Whittlesea,Melbourne,Italian Restaurant,Bookstore,Gym,Café,Food & Drink Shop,,,,,
1235,1235,Essendon,3040,City of Moonee Valley,Melbourne,Breakfast Spot,Fish & Chips Shop,Italian Restaurant,Athletics & Sports,Gym / Fitness Center,Light Rail Station,Sports Club,,,
1236,1236,Essendon North,3041,City of Moonee Valley,Melbourne,Italian Restaurant,Japanese Restaurant,Fast Food Restaurant,Light Rail Station,,,,,,
1237,1237,Essendon West,3040,City of Moonee Valley,Melbourne,Bus Station,Park,,,,,,,,
1238,1238,Eumemmerring,3177,City of Casey,Melbourne,Fast Food Restaurant,Fried Chicken Joint,Steakhouse,Hotel,,,,,,
1239,1239,Exford,3338,City of Melton,Melbourne,,,,,,,,,,
1240,1240,Eynesbury,3338,"City of Melton, City of Wyndham",Melbourne,,,,,,,,,,
1241,1241,Fairfield,3078,"City of Darebin, City of Yarra",Melbourne,Café,Grocery Store,Video Store,Breakfast Spot,Food & Drink Shop,Gym,Train Station,Greek Restaurant,Pharmacy,Lebanese Restaurant
1242,1242,Fawkner,3060,"City of Hume, City of Moreland",Melbourne,Bus Stop,Breakfast Spot,Park,,,,,,,
1243,1243,Ferntree Gully,3156,City of Knox,Melbourne,Fast Food Restaurant,Thai Restaurant,Gas Station,Shopping Mall,Supermarket,Café,Health Food Store,Pet Store,Pharmacy,Kebab Restaurant
1244,1244,Ferny Creek,3786,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1245,1245,Fingal,3939,Shire of Mornington Peninsula,Melbourne,Farm,Brewery,,,,,,,,
1246,1246,Fitzroy,3065,City of Yarra,Melbourne,Café,Bar,Cocktail Bar,Pub,Vegetarian / Vegan Restaurant,Bakery,Bookstore,Deli / Bodega,Asian Restaurant,Gastropub
1247,1247,Fitzroy North,3068,"City of Yarra, City of Moreland",Melbourne,Café,Ice Cream Shop,Pub,Italian Restaurant,Bakery,Park,Gift Shop,Vegetarian / Vegan Restaurant,Gas Station,Camera Store
1248,1248,Flemington,3031,"City of Moonee Valley, City of Melbourne",Melbourne,Café,Bakery,Supermarket,Farmers Market,Grocery Store,Light Rail Station,Shopping Mall,,,
1249,1249,Flinders,3929,Shire of Mornington Peninsula,Melbourne,Lake,,,,,,,,,
1250,1250,Footscray,3011,City of Maribyrnong,Melbourne,Bar,Pub,Asian Restaurant,Pizza Place,Malay Restaurant,Train Station,Chinese Restaurant,Liquor Store,Fast Food Restaurant,Café
1251,1251,Forest Hill,3131,City of Whitehorse,Melbourne,Market,Japanese Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Hotel,Liquor Store,Diner,Sports Club,Park,Gym / Fitness Center
1252,1252,Frankston,3199,City of Frankston,Melbourne,Sporting Goods Shop,Electronics Store,Department Store,Shop & Service,Café,Food Court,Convenience Store,Sandwich Place,Pet Store,Kids Store
1253,1253,Frankston North,3200,City of Frankston,Melbourne,Athletics & Sports,,,,,,,,,
1254,1254,Frankston South,3199,City of Frankston,Melbourne,,,,,,,,,,
1255,1255,Gardenvale,3185,City of Glen Eira,Melbourne,Café,Bakery,Australian Restaurant,Gas Station,Bus Stop,Fish & Chips Shop,Greek Restaurant,Grocery Store,Fast Food Restaurant,Park
1256,1256,Garfield,3814,Shire of Cardinia,Melbourne,,,,,,,,,,
1257,1257,Garfield North,3814,Shire of Cardinia,Melbourne,,,,,,,,,,
1258,1258,Gembrook,3783,Shire of Cardinia,Melbourne,,,,,,,,,,
1259,1259,Gladstone Park,3043,City of Hume,Melbourne,Women's Store,Track,Seafood Restaurant,Playground,Bus Stop,,,,,
1260,1260,Gladysdale,3797,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1261,1261,Glen Huntly,3163,City of Glen Eira,Melbourne,Café,Malay Restaurant,Indian Restaurant,Supermarket,Chinese Restaurant,Grocery Store,Sandwich Place,Asian Restaurant,,
1262,1262,Glen Iris,3146,"City of Stonnington, City of Boroondara",Melbourne,Train Station,Park,Café,,,,,,,
1263,1263,Glen Waverley,3150,City of Monash,Melbourne,Supermarket,Fast Food Restaurant,Bakery,Juice Bar,Electronics Store,Café,Pizza Place,Big Box Store,Food Court,Shopping Mall
1264,1264,Glenroy,3046,City of Moreland,Melbourne,Ice Cream Shop,Supermarket,Train Station,Middle Eastern Restaurant,Thrift / Vintage Store,Restaurant,,,,
1265,1265,Gowanbrae,3043,City of Moreland,Melbourne,Playground,Convenience Store,Fish & Chips Shop,Scenic Lookout,,,,,,
1266,1266,Greensborough,3088,"City of Banyule, Shire of Nillumbik",Melbourne,Café,Supermarket,Fast Food Restaurant,Italian Restaurant,Juice Bar,Gas Station,Record Shop,Department Store,Movie Theater,Big Box Store
1267,1267,Greenvale,3059,City of Hume,Melbourne,,,,,,,,,,
1268,1268,Gruyere,3770,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1269,1269,Guys Hill,3807,Shire of Cardinia,Melbourne,Golf Course,,,,,,,,,
1270,1270,Hadfield,3046,City of Moreland,Melbourne,Bagel Shop,Cosmetics Shop,Market,Bus Station,Construction & Landscaping,Bakery,,,,
1271,1271,Hallam,3803,City of Casey,Melbourne,Thai Restaurant,Fried Chicken Joint,Indian Restaurant,Italian Restaurant,Pub,Fast Food Restaurant,,,,
1272,1272,Hampton,3188,City of Bayside,Melbourne,Park,Bus Line,,,,,,,,
1273,1273,Hampton East,3188,City of Bayside,Melbourne,Gym,Convenience Store,Playground,,,,,,,
1274,1274,Hampton Park,3976,City of Casey,Melbourne,,,,,,,,,,
1275,1275,Harkaway,3806,City of Casey,Melbourne,Business Service,,,,,,,,,
1276,1276,Hastings,3915,Shire of Mornington Peninsula,Melbourne,Fast Food Restaurant,Train Station,Department Store,Pub,Grocery Store,Discount Store,,,,
1277,1277,Hawthorn,3122,City of Boroondara,Melbourne,Café,Japanese Restaurant,Thai Restaurant,Fast Food Restaurant,Burger Joint,Vietnamese Restaurant,Gym,Breakfast Spot,Dumpling Restaurant,Furniture / Home Store
1278,1278,Hawthorn East,3123,City of Boroondara,Melbourne,Café,Ice Cream Shop,Bakery,Indian Restaurant,Asian Restaurant,Multiplex,Steakhouse,Movie Theater,Bookstore,Mexican Restaurant
1279,1279,Healesville,3777,Shire of Yarra Ranges,Melbourne,Café,Bakery,Deli / Bodega,Hotel,Hotel Bar,Burger Joint,,,,
1280,1280,Heath Hill,3891,"Shire of Baw Baw, Shire of Cardinia",Melbourne,,,,,,,,,,
1281,1281,Heatherton,3202,City of Kingston,Melbourne,Golf Driving Range,,,,,,,,,
1282,1282,Heathmont,3135,City of Maroondah,Melbourne,Bakery,Café,Italian Restaurant,Pharmacy,Convenience Store,Dumpling Restaurant,,,,
1283,1283,Heidelberg,3084,City of Banyule,Melbourne,Shopping Mall,Hotel Bar,Café,Convenience Store,Supermarket,Playground,,,,
1284,1284,Heidelberg Heights,3081,City of Banyule,Melbourne,Park,Seafood Restaurant,Sports Club,Café,Bus Line,,,,,
1285,1285,Heidelberg West,3081,City of Banyule,Melbourne,Park,Cosmetics Shop,Café,Playground,,,,,,
1286,1286,Highett,3190,"City of Kingston, City of Bayside",Melbourne,Café,Supermarket,Train Station,Paper / Office Supplies Store,Fast Food Restaurant,Burger Joint,Mexican Restaurant,Outdoor Supply Store,Fish & Chips Shop,
1287,1287,Hillside,3037,"City of Melton, City of Brimbank",Melbourne,Pizza Place,Home Service,Fish & Chips Shop,Beer Garden,,,,,,
1288,1288,Hoddles Creek,3139,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1289,1289,Hoppers Crossing,3029,City of Wyndham,Melbourne,Fast Food Restaurant,Supermarket,Bakery,Liquor Store,Paper / Office Supplies Store,Pharmacy,Shopping Mall,,,
1290,1290,Hughesdale,3166,City of Monash,Melbourne,Café,Dry Cleaner,,,,,,,,
1291,1291,Humevale,3757,City of Whittlesea,Melbourne,Bus Stop,Golf Course,,,,,,,,
1292,1292,Huntingdale,3166,City of Monash,Melbourne,Bakery,Locksmith,Asian Restaurant,Korean Restaurant,,,,,,
1293,1293,Hurstbridge,3099,Shire of Nillumbik,Melbourne,Café,Train Station,Grocery Store,Pizza Place,,,,,,
1294,1294,Iona,3815,Shire of Cardinia,Melbourne,,,,,,,,,,
1295,1295,Ivanhoe,3079,City of Banyule,Melbourne,Café,Pizza Place,Supermarket,Japanese Restaurant,Fast Food Restaurant,Sandwich Place,Shopping Mall,Restaurant,Park,Portuguese Restaurant
1296,1296,Ivanhoe East,3079,City of Banyule,Melbourne,Plaza,Dance Studio,Deli / Bodega,Electronics Store,Food & Drink Shop,,,,,
1297,1297,Jacana,3047,City of Hume,Melbourne,Playground,Café,Pizza Place,,,,,,,
1298,1298,Junction Village,3977,City of Casey,Melbourne,Playground,Garden Center,Roof Deck,,,,,,,
1299,1299,Kalkallo,3064,City of Hume,Melbourne,,,,,,,,,,
1300,1300,Kallista,3791,Shire of Yarra Ranges,Melbourne,Golf Course,,,,,,,,,
1301,1301,Kalorama,3766,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1302,1302,Kangaroo Ground,3097,Shire of Nillumbik,Melbourne,Vineyard,,,,,,,,,
1303,1303,Kealba,3021,City of Brimbank,Melbourne,Park,,,,,,,,,
1304,1304,Keilor,3036,"City of Brimbank, City of Hume",Melbourne,Moving Target,Fast Food Restaurant,Women's Store,Cosmetics Shop,Ice Cream Shop,,,,,
1305,1305,Keilor Downs,3038,City of Brimbank,Melbourne,Plane,,,,,,,,,
1306,1306,Keilor East,3033,"City of Moonee Valley, City of Brimbank",Melbourne,Boxing Gym,Shopping Mall,Café,,,,,,,
1307,1307,Keilor Lodge,3038,City of Brimbank,Melbourne,Supermarket,Gym,Café,Hotel,Video Store,Shopping Mall,,,,
1308,1308,Keilor North,3036,City of Brimbank,Melbourne,Tea Room,Business Service,,,,,,,,
1309,1309,Keilor Park,3042,City of Brimbank,Melbourne,Fast Food Restaurant,Café,Indoor Play Area,Sandwich Place,Gym,Restaurant,Motorcycle Shop,,,
1310,1310,Kensington,3031,City of Melbourne,Melbourne,Café,Pizza Place,Bar,Fish & Chips Shop,Park,Gym,Ice Cream Shop,Pub,Burger Joint,
1311,1311,Kew,3101,City of Boroondara,Melbourne,Café,Grocery Store,Chinese Restaurant,Bakery,Italian Restaurant,Fast Food Restaurant,Fish Market,Greek Restaurant,Gym / Fitness Center,Liquor Store
1312,1312,Kew East,3102,City of Boroondara,Melbourne,Park,,,,,,,,,
1313,1313,Keysborough,3173,City of Greater Dandenong,Melbourne,Construction & Landscaping,Dry Cleaner,Business Service,,,,,,,
1314,1314,Kilsyth,3137,Shire of Yarra Ranges,Melbourne,Shopping Mall,Supermarket,Department Store,Liquor Store,Portuguese Restaurant,,,,,
1315,1315,Kilsyth South,3137,City of Maroondah,Melbourne,,,,,,,,,,
1316,1316,Kinglake,3763,"Shire of Murrindindi, Shire of Nillumbik",Melbourne,,,,,,,,,,
1317,1317,Kinglake West,3757,"City of Whittlesea, Shire of Nillumbik, Shire of Murrindindi",Melbourne,,,,,,,,,,
1318,1318,Kings Park,3021,City of Brimbank,Melbourne,IT Services,Pub,Playground,,,,,,,
1319,1319,Kingsbury,3083,City of Darebin,Melbourne,Café,Bakery,Supermarket,Fish & Chips Shop,,,,,,
1320,1320,Kingsville,3012,City of Maribyrnong,Melbourne,Café,Thai Restaurant,Italian Restaurant,Fish & Chips Shop,,,,,,
1321,1321,Knoxfield,3180,City of Knox,Melbourne,Liquor Store,Thai Restaurant,,,,,,,,
1322,1322,Koo Wee Rup,3981,Shire of Cardinia,Melbourne,Bus Station,Supermarket,Gastropub,Australian Restaurant,Fish & Chips Shop,Café,Bakery,,,
1323,1323,Koo Wee Rup North,3891,Shire of Cardinia,Melbourne,,,,,,,,,,
1324,1324,Kooyong,3144,City of Stonnington,Melbourne,Tennis Stadium,Yoga Studio,Park,Train Station,Baseball Field,Wine Shop,,,,
1325,1325,Kurunjang,3337,City of Melton,Melbourne,Cheese Shop,Australian Restaurant,Tennis Court,Pizza Place,Art Gallery,,,,,
1326,1326,Lalor,3075,City of Whittlesea,Melbourne,Fish & Chips Shop,,,,,,,,,
1327,1327,Lang Lang,3984,"South Gippsland Shire, Bass Coast Shire, Shire of Cardinia",Melbourne,Dance Studio,Gastropub,Grocery Store,Bakery,,,,,,
1328,1328,Lang Lang East,3984,Shire of Cardinia,Melbourne,,,,,,,,,,
1329,1329,Langwarrin,3910,City of Frankston,Melbourne,Medical Center,Playground,,,,,,,,
1330,1330,Langwarrin South,3911,City of Frankston,Melbourne,,,,,,,,,,
1331,1331,Launching Place,3139,Shire of Yarra Ranges,Melbourne,Bar,Athletics & Sports,,,,,,,,
1332,1332,Laverton,3028,"City of Hobsons Bay, City of Wyndham",Melbourne,Convenience Store,Thrift / Vintage Store,Playground,,,,,,,
1333,1333,Laverton North,3026,City of Wyndham,Melbourne,Factory,Fast Food Restaurant,Café,Sandwich Place,,,,,,
1334,1334,Lilydale,3140,Shire of Yarra Ranges,Melbourne,Health & Beauty Service,Japanese Restaurant,Café,Doctor's Office,,,,,,
1335,1335,Little River,3211,"City of Wyndham, City of Greater Geelong",Melbourne,,,,,,,,,,
1336,1336,Longwarry,3816,"Shire of Baw Baw, Shire of Cardinia",Melbourne,Train Station,Airport,Bike Rental / Bike Share,Café,Bakery,,,,,
1337,1337,Lower Plenty,3093,City of Banyule,Melbourne,Golf Course,,,,,,,,,
1338,1338,Lyndhurst,3975,"City of Greater Dandenong, City of Casey",Melbourne,,,,,,,,,,
1339,1339,Lysterfield,3156,"City of Knox, Shire of Yarra Ranges",Melbourne,Pet Store,Gas Station,,,,,,,,
1340,1340,Lysterfield South,3156,City of Casey,Melbourne,,,,,,,,,,
1341,1341,Macclesfield,3782,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1342,1342,Maidstone,3012,City of Maribyrnong,Melbourne,Gym,Sporting Goods Shop,,,,,,,,
1343,1343,Main Ridge,3928,Shire of Mornington Peninsula,Melbourne,,,,,,,,,,
1344,1344,Malvern,3144,City of Stonnington,Melbourne,Café,Italian Restaurant,Japanese Restaurant,Garden,Turkish Restaurant,Fast Food Restaurant,City Hall,Spanish Restaurant,Restaurant,Convenience Store
1345,1345,Malvern East,3145,City of Stonnington,Melbourne,Park,Light Rail Station,Café,Bus Stop,Breakfast Spot,Thai Restaurant,Bakery,,,
1346,1346,Mambourin,3024,City of Wyndham,Melbourne,,,,,,,,,,
1347,1347,Maribyrnong,3032,City of Maribyrnong,Melbourne,Bowling Alley,Arts & Crafts Store,Furniture / Home Store,Paper / Office Supplies Store,Light Rail Station,,,,,
1348,1348,Maryknoll,3812,Shire of Cardinia,Melbourne,,,,,,,,,,
1349,1349,Meadow Heights,3048,City of Hume,Melbourne,Bakery,Shopping Mall,Grocery Store,Pizza Place,Middle Eastern Restaurant,,,,,
1350,1350,Melbourne Airport,3045,City of Hume,Melbourne,Airport Lounge,Café,Fast Food Restaurant,Juice Bar,Noodle House,Rental Car Location,Airport Service,Donut Shop,Airport,Bookstore
1351,1351,Melton South,3338,City of Melton,Melbourne,Bus Station,Supermarket,Fast Food Restaurant,Pizza Place,,,,,,
1352,1352,Melton West,3337,City of Melton,Melbourne,,,,,,,,,,
1353,1353,Mentone,3194,City of Kingston,Melbourne,Café,Train Station,Supermarket,Bagel Shop,Grocery Store,Convenience Store,Middle Eastern Restaurant,Sandwich Place,,
1354,1354,Menzies Creek,3159,"Shire of Cardinia, Shire of Yarra Ranges",Melbourne,,,,,,,,,,
1355,1355,Mernda,3754,City of Whittlesea,Melbourne,Bakery,Bus Stop,River,,,,,,,
1356,1356,Merricks,3916,Shire of Mornington Peninsula,Melbourne,Trail,Brewery,Café,,,,,,,
1357,1357,Merricks Beach,3926,Shire of Mornington Peninsula,Melbourne,Dog Run,Beach,,,,,,,,
1358,1358,Merricks North,3926,Shire of Mornington Peninsula,Melbourne,,,,,,,,,,
1359,1359,Mickleham,3064,City of Hume,Melbourne,,,,,,,,,,
1360,1360,Middle Park,3206,Electoral district of Albert Park,Melbourne,Café,Light Rail Station,Grocery Store,Thai Restaurant,Indian Restaurant,Athletics & Sports,Seafood Restaurant,Metro Station,Beach,Hotel
1361,1361,Mill Park,3082,City of Whittlesea,Melbourne,Fried Chicken Joint,Basketball Court,Snack Place,Grocery Store,Asian Restaurant,Fish & Chips Shop,,,,
1362,1362,Millgrove,3799,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1363,1363,Mitcham,3132,City of Whitehorse,Melbourne,,,,,,,,,,
1364,1364,Modella,3816,"Shire of Cardinia, Shire of Baw Baw",Melbourne,,,,,,,,,,
1365,1365,Monbulk,3793,Shire of Yarra Ranges,Melbourne,Business Service,,,,,,,,,
1366,1366,Monomeith,3984,Shire of Cardinia,Melbourne,,,,,,,,,,
1367,1367,Mont Albert,3127,"City of Boroondara, City of Whitehorse",Melbourne,Flower Shop,Breakfast Spot,Korean Restaurant,Restaurant,Convenience Store,,,,,
1368,1368,Mont Albert North,3129,City of Whitehorse,Melbourne,Park,Gym,Track Stadium,Dessert Shop,,,,,,
1369,1369,Montmorency,3094,City of Banyule,Melbourne,Café,Supermarket,Burger Joint,Chinese Restaurant,Train Station,Thai Restaurant,Pub,,,
1370,1370,Montrose,3765,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1371,1371,Moonee Ponds,3039,City of Moonee Valley,Melbourne,Café,Supermarket,Pharmacy,Burger Joint,Noodle House,Shopping Mall,Grocery Store,Malay Restaurant,Bar,Train Station
1372,1372,Moorabbin,3189,City of Kingston,Melbourne,Rental Car Location,Gym,Bus Stop,,,,,,,
1373,1373,Moorooduc,3933,Shire of Mornington Peninsula,Melbourne,,,,,,,,,,
1374,1374,Mooroolbark,3138,Shire of Yarra Ranges,Melbourne,Paper / Office Supplies Store,Fast Food Restaurant,,,,,,,,
1375,1375,Mordialloc,3195,City of Kingston,Melbourne,Restaurant,Café,Sports Club,Golf Course,,,,,,
1376,1376,Mount Burnett,3781,Shire of Cardinia,Melbourne,,,,,,,,,,
1377,1377,Mount Cottrell,3024,"City of Melton, City of Wyndham",Melbourne,,,,,,,,,,
1378,1378,Mount Dandenong,3767,Shire of Yarra Ranges,Melbourne,,,,,,,,,,
1379,1379,Mount Eliza,3930,Shire of Mornington Peninsula,Melbourne,Steakhouse,Business Service,,,,,,,,
1380,1380,Mount Evelyn,3796,Shire of Yarra Ranges,Melbourne,Steakhouse,Construction & Landscaping,,,,,,,,
1381,1381,Mount Martha,3934,Shire of Mornington Peninsula,Melbourne,Playground,Flower Shop,,,,,,,,
1382,1382,Mount Waverley,3149,City of Monash,Melbourne,Asian Restaurant,Kids Store,Shopping Mall,Train Station,Bakery,Thai Restaurant,Sandwich Place,Salon / Barbershop,Australian Restaurant,Café
1383,1383,Mulgrave,3170,City of Monash,Melbourne,Home Service,,,,,,,,,
1384,1384,Murrumbeena,3163,City of Glen Eira,Melbourne,Warehouse Store,Park,Video Store,,,,,,,
1385,1385,Nangana,3781,Shire of Cardinia,Melbourne,,,,,,,,,,
1386,1386,Nar Nar Goon,3812,Shire of Cardinia,Melbourne,Bus Station,Train Station,Pub,,,,,,,
1387,1387,Nar Nar Goon North,3812,Shire of Cardinia,Melbourne,,,,,,,,,,
1388,1388,Narre Warren,3805,City of Casey,Melbourne,Martial Arts Dojo,Chinese Restaurant,Grocery Store,Mexican Restaurant,Clothing Store,Pizza Place,Train Station,,,
1389,1389,Narre Warren East,3804,Shire of Yarra Ranges,Melbourne,Café,,,,,,,,,
1390,1390,Narre Warren North,3804,City of Casey,Melbourne,Bus Stop,Grocery Store,Antique Shop,,,,,,,
1391,1391,Narre Warren South,3805,City of Casey,Melbourne,Pet Store,,,,,,,,,
1392,1392,Newport,3015,City of Hobsons Bay,Melbourne,Café,Pizza Place,Convenience Store,Beer Garden,Bus Station,Thrift / Vintage Store,Thai Restaurant,Ice Cream Shop,Grocery Store,
1393,1393,Niddrie,3042,City of Moonee Valley,Melbourne,Café,Pharmacy,Thai Restaurant,,,,,,,
1394,1394,Noble Park,3174,City of Greater Dandenong,Melbourne,Supermarket,Convenience Store,Train Station,Sandwich Place,Middle Eastern Restaurant,Vietnamese Restaurant,Thai Restaurant,Bakery,,
1395,1395,Noble Park North,3174,City of Greater Dandenong,Melbourne,Furniture / Home Store,,,,,,,,,
1396,1396,North Melbourne,3051,City of Melbourne,Melbourne,Bakery,Pool,Gym,Grocery Store,Café,Thai Restaurant,Dog Run,Supermarket,Gaming Cafe,Football Stadium
1397,1397,North Warrandyte,3113,Shire of Nillumbik,Melbourne,Furniture / Home Store,Men's Store,Kids Store,Fish & Chips Shop,,,,,,
1398,1398,Northcote,3070,City of Darebin,Melbourne,Café,Bar,Pizza Place,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Gastropub,Falafel Restaurant,Mediterranean Restaurant,Greek Restaurant,Korean Restaurant
1399,1399,Notting Hill,3168,City of Monash,Melbourne,Malay Restaurant,Chinese Restaurant,Pizza Place,Café,,,,,,
1400,1400,Nutfield,3099,Shire of Nillumbik,Melbourne,,,,,,,,,,
1401,1401,Nyora,3987,"South Gippsland Shire, Shire of Baw Baw, Shire of Cardinia",Melbourne,Gym / Fitness Center,,,,,,,,,
1402,1402,Oak Park,3046,City of Moreland,Melbourne,Supermarket,Fast Food Restaurant,Café,,,,,,,
1403,1403,Oaklands Junction,3063,City of Hume,Melbourne,Farm,,,,,,,,,
1404,1404,Oakleigh,3166,City of Monash,Melbourne,Café,Greek Restaurant,Supermarket,Asian Restaurant,Donut Shop,Breakfast Spot,Shopping Mall,Park,Music Venue,Liquor Store
